# aperture           f1       f2_source   f2_slit   f2_numeric   fwhm
       1500            5      23.0547     24.5441      23.1313      124.391
       1500            6      22.9901     24.4932      23.1313      152.555
       1500            7       22.922     24.4366      23.1313      180.719
       1500            8      22.8502     24.3733      22.6263      213.577
       1500            9      22.7742      24.302      22.6263      246.435
       1500           10      22.6937      24.221      22.6263        2.347
       1500           11      22.6084     24.1283      22.6263        2.347
       1500           12      22.5176     24.0211      22.6263        2.347
       1500           13      22.4211     23.8957      22.6263        2.347
       1500           14       22.318     23.7471      22.1212        2.347
       1500           15      22.2078     23.5681      22.1212        2.347
       1500           16      22.0897     23.3485      22.1212        2.347
       1500           17      21.9628     23.0725      22.1212        2.347
       1500           18      21.8261     22.7152      22.1212        2.347
       1500           19      21.6784     22.2347      21.6162        2.347
       1500           20      21.5183     21.5537      21.6162        2.347
       1500           21      21.3443     20.5138      21.6162        2.347
       1500           22      21.1543     18.7299      21.1111        2.347
       1500           23      20.9461     14.9582      21.1111        2.347
       1500           24       20.717     1.69811      21.1111        7.041
       1500           25      20.4636     117.805      20.6061        2.347
       1500           26      20.1818     41.2033      20.6061        7.041
       1500           27      19.8667     34.0816       20.101        2.347
       1500           28      19.5118     31.4041       19.596        7.041
       1500           29      19.1092          30       19.596        7.041
       1500           30      18.6486     29.1354      19.0909        7.041
       1500           31      18.1165     28.5496      18.5859        7.041
       1500           32      17.4947     28.1263      18.0808        7.041
       1500           33      16.7586     27.8062      17.5758        7.041
       1500           34      15.8734     27.5557      17.0707       11.735
       1500           35      14.7887     27.3542      16.0606       11.735
       1500           36      13.4286     27.1888      15.0505       16.429
       1500           37      11.6727     27.0504      14.0404       21.123
       1500           38      9.31915      26.933      12.5253       25.817
       1500           39            6     26.8321      11.0101       37.552
       1500           40     0.967742     26.7445           10       63.369
       1500           41          nan     26.6677      12.0202      180.719
       1500           42          nan     26.5998      55.9596      208.883
       1500           43          nan     26.5394      47.3737      180.719
       1500           44          786     26.4853           60      129.085
       1500           45          110     26.4365      54.4444      100.921
       1500           46      70.2353     26.3924           60       58.675
       1500           47        55.92     26.3522           60       28.164
       1500           48      48.5455     26.3154           60       18.776
       1500           49      44.0488     26.2818      51.4141       16.429
       1500           50      41.0204     26.2507      45.8586       16.429
       1500           51      38.8421     26.2221      42.8283       11.735
       1500           52         37.2     26.1956       40.303       11.735
       1500           53      35.9178     26.1709      38.2828       11.735
       1500           54      34.8889     26.1479      36.7677       11.735
       1500           55      34.0449     26.1265      35.7576        9.388
       1500           56      33.3402     26.1064      34.7475        7.041
       1500           57      32.7429     26.0876      33.7374        7.041
       1500           58      32.2301     26.0699      33.2323        7.041
       1500           59      31.7851     26.0532      32.7273        7.041
       1500           60      31.3953     26.0375      32.2222        7.041
       1500           61      31.0511     26.0226      31.7172        7.041
       1500           62      30.7448     26.0086      31.2121        7.041
       1500           63      30.4706     25.9953      31.2121        7.041
       1500           64      30.2236     25.9827      30.7071        7.041
       1500           65           30     25.9707      30.7071        7.041
       1500           66      29.7966     25.9592       30.202        7.041
       1500           67      29.6108     25.9483       30.202        7.041
       1500           68      29.4404      25.938       29.697        7.041
       1500           69      29.2836     25.9281       29.697        7.041
       1500           70      29.1388     25.9186       29.697        7.041
       1500           71      29.0046     25.9095      29.1919        7.041
       1500           72        28.88     25.9009      29.1919        7.041
       1500           73      28.7639     25.8925      29.1919        7.041
       1500           74      28.6556     25.8846      28.6869        7.041
       1500           75      28.5542     25.8769      28.6869        7.041
       1500           76      28.4591     25.8695      28.6869        7.041
       1500           77      28.3698     25.8625      28.6869        7.041
       1500           78      28.2857     25.8557      28.6869        7.041
       1500           79      28.2064     25.8491      28.1818        7.041
       1500           80      28.1315     25.8428      28.1818        7.041
       1500           81      28.0606     25.8367      28.1818        4.694
       1500           82      27.9934     25.8308      28.1818        4.694
       1500           83      27.9297     25.8251      28.1818        4.694
       1500           84      27.8692     25.8196      28.1818        4.694
       1500           85      27.8116     25.8143      28.1818        7.041
       1500           86      27.7567     25.8092      27.6768        7.041
       1500           87      27.7043     25.8042      27.6768        4.694
       1500           88      27.6544     25.7994      27.6768        2.347
       1500           89      27.6066     25.7947      27.6768        2.347
       1500           90       27.561     25.7902      27.6768        2.347
       1500           91      27.5172     25.7858      27.6768        2.347
       1500           92      27.4753     25.7816      27.6768        2.347
       1500           93      27.4351     25.7774      27.6768        2.347
       1500           94      27.3965     25.7734      27.6768        2.347
       1500           95      27.3594     25.7695      27.6768        2.347
       1500           96      27.3237     25.7657      27.6768        4.694
       1500           97      27.2894     25.7621      27.1717        2.347
       1500           98      27.2564     25.7585      27.1717        2.347
       1500           99      27.2245      25.755      27.1717        2.347
       1500          100      27.1938     25.7516      27.1717        2.347
