#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
17.974  7.3958  319.152  3.38271 
18.072  7.39445  315.529  3.40827 
18.17  7.39309  311.953  3.43419 
18.268  7.39175  308.423  3.46045 
18.366  7.39042  304.939  3.48707 
18.464  7.38911  301.499  3.51404 
18.562  7.38783  298.104  3.54135 
18.66  7.38658  294.753  3.56899 
18.758  7.38332  291.446  3.59902 
18.856  7.38217  288.181  3.62728 
18.954  7.38439  284.959  3.65328 
19.052  7.38336  281.78  3.68231 
19.15  7.3824  278.641  3.71169 
19.248  7.37823  275.544  3.74334 
19.346  7.38074  272.487  3.77155 
19.444  7.37475  269.471  3.80528 
19.542  7.37419  266.495  3.83547 
19.64  7.37376  263.558  3.86604 
19.738  7.37346  260.66  3.89701 
19.836  7.3733  257.801  3.92844 
19.934  7.37128  254.98  3.96134 
20.032  7.37145  252.198  3.99339 
20.13  7.36856  249.453  4.02755 
20.228  7.3691  246.745  4.06003 
20.326  7.36786  244.075  4.09394 
20.424  7.3656  241.441  4.12882 
20.522  7.36482  238.844  4.16318 
20.62  7.36628  236.283  4.19701 
20.718  7.36281  233.758  4.23328 
20.816  7.36161  231.268  4.269 
20.914  7.36193  228.814  4.30417 
21.012  7.36135  226.394  4.34025 
21.11  7.35913  224.01  4.37748 
21.208  7.35727  221.66  4.41505 
21.306  7.35774  219.344  4.45135 
21.404  7.35664  217.063  4.48902 
21.502  7.35595  214.815  4.52676 
21.6  7.35568  212.602  4.56458 
21.698  7.35586  210.421  4.60254 
21.796  7.35334  208.274  4.64213 
21.894  7.35447  206.16  4.68011 
21.992  7.35296  204.079  4.71969 
22.09  7.35512  202.031  4.75817 
22.188  7.35469  200.015  4.79778 
22.286  7.35288  198.032  4.83795 
22.384  7.35362  196.081  4.87771 
22.482  7.34989  194.162  4.91928 
22.58  7.35189  192.275  4.95864 
22.678  7.35261  190.419  4.99897 
22.776  7.35089  188.596  5.04015 
22.874  7.34987  186.804  5.0814 
22.972  7.34959  185.043  5.12247 
23.07  7.35008  183.313  5.16331 
23.168  7.35134  181.615  5.20401 
23.266  7.35028  179.947  5.24567 
23.364  7.35319  178.31  5.28613 
23.462  7.35187  176.704  5.32777 
23.56  7.35337  175.129  5.36875 
23.658  7.35384  173.584  5.41 
23.756  7.35208  172.07  5.45188 
23.854  7.35442  170.585  5.49246 
23.952  7.35457  169.131  5.53365 
24.05  7.35572  167.707  5.57448 
24.148  7.35593  166.313  5.61544 
24.246  7.35913  164.949  5.65565 
24.344  7.35826  163.614  5.69642 
24.442  7.35845  162.309  5.73691 
24.54  7.35973  161.033  5.77687 
24.638  7.36213  159.787  5.81631 
24.736  7.36245  158.57  5.856 
24.834  7.36391  157.382  5.89511 
24.932  7.36453  156.223  5.93416 
25.03  7.36831  155.092  5.97199 
25.128  7.37128  153.991  6.00981 
25.226  7.3722  152.918  6.04748 
25.324  7.37431  151.874  6.08456 
25.422  7.37763  150.858  6.12105 
25.52  7.37685  149.87  6.15756 
25.618  7.37929  148.91  6.19306 
25.716  7.3809  147.978  6.22821 
25.814  7.38372  147.073  6.26249 
25.912  7.38775  146.197  6.29599 
26.01  7.38964  145.347  6.32922 
26.108  7.39272  144.525  6.36161 
26.206  7.39489  143.73  6.39345 
26.304  7.39693  142.962  6.42463 
26.402  7.40143  142.221  6.45466 
26.5  7.40365  141.506  6.48429 
26.598  7.40698  140.817  6.51299 
26.696  7.41142  140.154  6.54077 
26.794  7.41345  139.517  6.568 
26.892  7.41652  138.906  6.59429 
26.99  7.41842  138.321  6.61996 
27.088  7.42349  137.76  6.64416 
27.186  7.42733  137.225  6.66772 
27.284  7.42986  136.714  6.69059 
27.382  7.43413  136.227  6.71226 
27.48  7.43699  135.765  6.73326 
27.578  7.44064  135.327  6.75318 
27.676  7.44505  134.912  6.77202 
27.774  7.45019  134.521  6.78984 
27.872  7.45368  134.153  6.80691 
27.97  7.45779  133.808  6.82295 
28.068  7.46101  133.485  6.83815 
28.166  7.46473  133.185  6.85232 
28.264  7.47041  132.907  6.86524 
28.362  7.47259  132.65  6.87768 
28.46  7.47755  132.415  6.88874 
28.558  7.48035  132.2  6.89922 
28.656  7.4874  132.007  6.90808 
28.754  7.49063  131.833  6.91649 
28.852  7.49396  131.68  6.92398 
28.95  7.49735  131.547  6.93056 
29.048  7.50331  131.433  6.93579 
29.146  7.50665  131.338  6.9405 
29.244  7.50988  131.262  6.94434 
29.342  7.51557  131.205  6.9469 
29.44  7.51839  131.165  6.94902 
29.538  7.52361  131.143  6.9499 
29.636  7.52748  131.139  6.95014 
29.734  7.53199  131.152  6.94945 
29.832  7.53607  131.181  6.94801 
29.93  7.54139  131.227  6.94564 
30.028  7.54442  131.29  6.94271 
30.126  7.5486  131.367  6.93891 
