#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
2  23.2337  7113.81  4.25784 
2.098  23.2252  6890.61  4.2631 
2.196  23.2166  6682.04  4.27076 
2.294  23.2172  6486.57  4.26289 
2.392  23.2084  6302.88  4.26897 
2.49  23.2087  6129.82  4.26458 
2.588  23.1997  5966.42  4.26917 
2.686  23.1848  5811.8  4.29178 
2.784  23.1848  5665.2  4.27899 
2.882  23.1847  5525.97  4.27291 
2.98  23.1752  5393.5  4.27985 
3.078  23.1656  5267.27  4.29041 
3.176  23.1651  5146.8  4.28188 
3.274  23.1553  5031.69  4.29197 
3.372  23.1545  4921.54  4.28482 
3.47  23.1445  4816.02  4.29471 
3.568  23.1435  4714.81  4.28849 
3.666  23.1423  4617.63  4.28719 
3.764  23.1319  4524.23  4.29281 
3.862  23.1305  4434.37  4.29164 
3.96  23.1199  4347.84  4.29779 
4.058  23.1183  4264.45  4.29641 
4.156  23.1017  4184  4.31543 
4.254  23.0998  4106.34  4.30863 
4.352  23.0887  4031.32  4.32352 
4.45  23.0866  3958.78  4.31626 
4.548  23.0843  3888.61  4.31234 
4.646  23.0728  3820.67  4.32543 
4.744  23.0702  3754.86  4.32058 
4.842  23.0585  3691.07  4.3366 
4.94  23.0556  3629.2  4.3307 
5.038  23.0526  3569.16  4.32737 
5.136  23.0405  3510.87  4.34333 
5.234  23.0373  3454.25  4.33868 
5.332  23.0394  3399.21  4.33067 
5.43  23.0214  3345.7  4.35323 
5.528  23.0232  3293.63  4.3395 
5.626  23.0194  3242.97  4.34035 
5.724  23.0155  3193.63  4.34264 
5.822  23.0024  3145.58  4.35123 
5.92  22.9982  3098.75  4.35167 
6.018  22.9848  3053.1  4.36716 
6.116  22.9803  3008.58  4.36598 
6.214  22.9756  2965.14  4.3659 
6.312  22.9708  2922.76  4.36678 
6.41  22.9658  2881.38  4.36849 
6.508  22.9518  2840.97  4.38492 
6.606  22.9465  2801.49  4.38525 
6.704  22.9411  2762.92  4.3863 
6.802  22.941  2725.21  4.38189 
6.9  22.9352  2688.34  4.38533 
6.998  22.9205  2652.28  4.39831 
7.096  22.9145  2616.99  4.40077 
7.194  22.9083  2582.47  4.40363 
7.292  22.9019  2548.67  4.40685 
7.39  22.8954  2515.58  4.41038 
7.488  22.8941  2483.18  4.40992 
7.586  22.8873  2451.43  4.41424 
7.684  22.8715  2420.33  4.42806 
7.782  22.8644  2389.84  4.43261 
7.88  22.857  2359.96  4.43749 
7.978  22.8496  2330.66  4.4427 
8.076  22.8473  2301.92  4.43965 
8.174  22.8394  2273.73  4.44504 
8.272  22.8315  2246.08  4.45072 
8.37  22.8233  2218.94  4.45676 
8.468  22.815  2192.3  4.46321 
8.566  22.8118  2166.15  4.4632 
8.664  22.8031  2140.48  4.46942 
8.762  22.7943  2115.26  4.47617 
8.86  22.7853  2090.49  4.48355 
8.958  22.7814  2066.16  4.48464 
9.056  22.7721  2042.25  4.4918 
9.154  22.7625  2018.75  4.49984 
9.252  22.7528  1995.66  4.5089 
9.35  22.7482  1972.95  4.50967 
9.448  22.7381  1950.63  4.51887 
9.546  22.7279  1928.67  4.52946 
9.644  22.7174  1907.08  4.54163 
9.742  22.7121  1885.84  4.54146 
9.84  22.7097  1864.95  4.5387 
9.938  22.704  1844.38  4.54329 
10.036  22.6928  1824.15  4.55235 
10.134  22.6814  1804.23  4.56365 
10.232  22.6699  1784.63  4.57744 
10.33  22.6633  1765.33  4.58024 
10.428  22.6598  1746.32  4.57926 
10.526  22.6529  1727.61  4.58479 
10.624  22.6405  1709.17  4.59686 
10.722  22.628  1691.02  4.61242 
10.82  22.6205  1673.13  4.61743 
10.918  22.6159  1655.5  4.61734 
11.016  22.6079  1638.14  4.62395 
11.114  22.5946  1621.02  4.64001 
11.212  22.5894  1604.16  4.64101 
11.31  22.5808  1587.53  4.6486 
11.408  22.5669  1571.14  4.66701 
11.506  22.5661  1554.98  4.6609 
11.604  22.5518  1539.04  4.67716 
11.702  22.5505  1523.33  4.67573 
11.8  22.5358  1507.83  4.69027 
11.898  22.5259  1492.54  4.70022 
11.996  22.5189  1477.46  4.70556 
12.094  22.5086  1462.59  4.71606 
12.192  22.5011  1447.91  4.7225 
12.29  22.4903  1433.43  4.73361 
12.388  22.4824  1419.13  4.74085 
12.486  22.4711  1405.03  4.75276 
12.584  22.4628  1391.11  4.76063 
12.682  22.4511  1377.36  4.77365 
12.78  22.4472  1363.8  4.77639 
12.878  22.43  1350.4  4.79671 
12.976  22.4257  1337.18  4.79827 
13.074  22.408  1324.12  4.82264 
13.172  22.4032  1311.22  4.82266 
13.27  22.398  1298.49  4.82759 
13.368  22.3877  1285.91  4.83851 
13.466  22.3741  1273.48  4.85333 
13.564  22.3682  1261.21  4.85984 
13.662  22.3571  1249.08  4.87167 
13.76  22.3427  1237.1  4.888 
13.858  22.336  1225.26  4.89488 
13.956  22.3241  1213.56  4.90808 
14.054  22.3169  1202  4.91692 
14.152  22.3015  1190.58  4.93409 
14.25  22.2937  1179.29  4.9427 
14.348  22.2808  1168.13  4.95772 
14.446  22.2724  1157.09  4.96734 
14.544  22.2638  1146.18  4.97826 
14.642  22.2549  1135.4  4.99023 
14.74  22.2331  1124.74  5.01637 
14.838  22.2236  1114.2  5.02642 
14.936  22.2139  1103.77  5.03744 
15.034  22.2038  1093.46  5.04928 
15.132  22.1935  1083.27  5.0618 
15.23  22.1781  1073.18  5.08245 
15.328  22.1672  1063.21  5.09568 
15.426  22.156  1053.34  5.10955 
15.524  22.1444  1043.58  5.12404 
15.622  22.1403  1033.93  5.12967 
15.72  22.1281  1024.38  5.14492 
15.818  22.1157  1014.92  5.16058 
15.916  22.1029  1005.57  5.17673 
16.014  22.0898  996.32  5.19347 
16.112  22.0765  987.163  5.21093 
16.21  22.0628  978.1  5.22926 
16.308  22.0563  969.132  5.23912 
16.406  22.042  960.255  5.2573 
16.504  22.0273  951.469  5.27667 
16.602  22.0123  942.772  5.29748 
16.7  22.0045  934.162  5.30825 
16.798  21.9888  925.639  5.32934 
16.896  21.9803  917.202  5.3423 
16.994  21.964  908.848  5.36393 
17.092  21.9474  900.576  5.3881 
17.19  21.9378  892.386  5.40093 
17.288  21.9205  884.277  5.42668 
17.386  21.9147  876.246  5.43495 
17.484  21.8967  868.293  5.45994 
17.582  21.8856  860.416  5.47613 
17.68  21.8742  852.616  5.49368 
17.778  21.8596  844.889  5.51467 
17.876  21.8475  837.236  5.53356 
17.974  21.8349  829.656  5.55324 
18.072  21.8147  822.146  5.58096 
18.17  21.8059  814.707  5.59611 
18.268  21.7922  807.338  5.61727 
18.366  21.7709  800.036  5.64772 
18.464  21.7609  792.802  5.6637 
18.562  21.746  785.635  5.68658 
