#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
17.582  7.42283  1094.32  2.1198 
17.68  7.42243  1084.93  2.12075 
17.778  7.42058  1075.63  2.12492 
17.876  7.41998  1066.41  2.12618 
17.974  7.41793  1057.28  2.13138 
18.072  7.41713  1048.24  2.13304 
18.17  7.4184  1039.28  2.13064 
18.268  7.41605  1030.41  2.13522 
18.366  7.41494  1021.61  2.13782 
18.464  7.41589  1012.9  2.13733 
18.562  7.41323  1004.27  2.14194 
18.66  7.4118  995.721  2.14529 
18.758  7.41241  987.247  2.14507 
18.856  7.40944  978.85  2.15103 
18.954  7.40983  970.528  2.15077 
19.052  7.40796  962.281  2.15475 
19.15  7.40812  954.107  2.15558 
19.248  7.40471  946.007  2.16285 
19.346  7.40252  937.978  2.16939 
19.444  7.40233  930.019  2.16898 
19.542  7.40202  922.131  2.16961 
19.64  7.40159  914.311  2.17103 
19.738  7.40104  906.56  2.17306 
19.836  7.40037  898.875  2.17551 
19.934  7.39747  891.257  2.18148 
20.032  7.39655  883.704  2.184 
20.13  7.39551  876.216  2.18686 
20.228  7.39434  868.791  2.19001 
20.326  7.39304  861.43  2.19347 
20.424  7.39162  854.13  2.19726 
20.522  7.39006  846.892  2.20145 
20.62  7.38838  839.714  2.20614 
20.718  7.38991  832.596  2.20435 
20.816  7.38796  825.537  2.20858 
20.914  7.38588  818.536  2.21352 
21.012  7.38367  811.593  2.21942 
21.11  7.38463  804.706  2.21883 
21.208  7.38214  797.876  2.22432 
21.306  7.37952  791.101  2.23142 
21.404  7.38005  784.381  2.23103 
21.502  7.37714  777.715  2.23841 
21.6  7.37737  771.103  2.23891 
21.698  7.37418  764.543  2.24722 
21.796  7.37613  758.036  2.24553 
21.894  7.37265  751.58  2.25238 
21.992  7.37227  745.176  2.25487 
22.09  7.37173  738.821  2.25828 
22.188  7.36781  732.517  2.26682 
22.286  7.36895  726.261  2.267 
22.384  7.36472  720.054  2.27638 
22.482  7.36355  713.895  2.28019 
22.58  7.3642  707.784  2.28101 
22.678  7.3627  701.72  2.28574 
22.776  7.35785  695.702  2.29835 
22.874  7.35799  689.73  2.29833 
22.972  7.35599  683.803  2.30451 
23.07  7.35578  677.921  2.30659 
23.168  7.35344  672.084  2.31333 
23.266  7.35288  666.29  2.31655 
23.364  7.35019  660.54  2.3241 
23.462  7.34733  654.832  2.33319 
23.56  7.34934  649.167  2.33116 
23.658  7.34804  643.544  2.33648 
23.756  7.34464  637.963  2.34418 
23.854  7.34297  632.422  2.34994 
23.952  7.3392  626.922  2.36125 
24.05  7.34023  621.462  2.36065 
24.148  7.33798  616.041  2.36754 
24.246  7.33861  610.66  2.37128 
24.344  7.33408  605.318  2.38078 
24.442  7.33429  600.014  2.38416 
24.54  7.33125  594.749  2.39217 
24.638  7.32801  589.52  2.40191 
24.736  7.32759  584.329  2.40543 
24.834  7.32695  579.175  2.41054 
24.932  7.3261  574.058  2.41673 
25.03  7.32017  568.976  2.43063 
25.128  7.31889  563.93  2.43602 
25.226  7.31921  558.919  2.43889 
25.324  7.31746  553.943  2.446 
25.422  7.31549  549.002  2.45348 
25.52  7.31329  544.095  2.46135 
25.618  7.31085  539.222  2.46972 
25.716  7.30819  534.383  2.4788 
25.814  7.30821  529.576  2.48384 
25.912  7.30686  524.803  2.49152 
26.01  7.30347  520.062  2.50078 
26.108  7.29985  515.353  2.51179 
26.206  7.29886  510.676  2.51824 
26.304  7.29652  506.031  2.52725 
26.402  7.29501  501.417  2.53512 
26.5  7.29215  496.833  2.5451 
26.598  7.29012  492.281  2.55395 
26.696  7.28957  487.759  2.56138 
26.794  7.28699  483.267  2.57104 
26.892  7.28307  478.804  2.58281 
26.99  7.27995  474.371  2.59428 
27.088  7.27828  469.968  2.60285 
27.186  7.27632  465.593  2.61226 
27.284  7.27408  461.247  2.62235 
27.382  7.2743  456.929  2.63048 
27.48  7.26975  452.639  2.64274 
27.578  7.26661  448.377  2.65466 
