aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
40.3  5  23.0547  24.5441  23.0879  3.91  25.9834    4.30116
40.3  6  22.9901  24.4932  22.7582  3.91  22.7004    5.08319
40.3  7  22.922  24.4366  22.7582  3.91  20.8037    4.30116
40.3  8  22.8502  24.3733  22.7582  3.91  18.9541    5.08319
40.3  9  22.7742  24.302  22.7582  5.474  18.4582    5.08319
40.3  10  22.6937  24.221  22.4286  5.474  16.2692    5.08319
40.3  11  22.6084  24.1283  22.4286  5.474  15.2135    5.86522
40.3  12  22.5176  24.0211  22.0989  5.474  13.7212    6.25624
40.3  13  22.4211  23.8957  22.0989  7.038  13.7912    6.64725
40.3  14  22.318  23.7471  21.7692  7.038  13.9899    8.21131
40.3  15  22.2078  23.5681  21.7692  7.038  14.2943    7.42928
40.3  16  22.0897  23.3485  21.4396  7.038  13.4294    7.42928
40.3  17  21.9628  23.0725  21.1099  8.602  13.8929    8.21131
40.3  18  21.8261  22.7152  20.4505  8.602  13.849    8.99334
40.3  19  21.6784  22.2347  19.7912  10.166  14.6189    10.5574
40.3  20  21.5183  21.5537  19.4615  14.858  16.5807    16.0316
40.3  21  21.3443  20.5138  18.8022  21.114  19.4721    20.7238
40.3  22  21.1543  18.7299  18.4725  28.934  23.551    28.5441
40.3  23  20.9461  14.9582  22.7582  33.626  27.8451    34.0183
40.3  24  20.717  1.69811  28.033  28.934  25.9426    28.5441
40.3  25  20.4636  117.805  28.6923  22.678  23.1495    23.4609
40.3  26  20.1818  41.2033  28.3626  19.55  20.9797    19.9418
40.3  27  19.8667  34.0816  28.033  16.422  19.3931    16.8136
40.3  28  19.5118  31.4041  27.3736  14.858  18.8832    15.2496
40.3  29  19.1092  30  27.3736  13.294  17.9621    13.6855
40.3  30  18.6486  29.1354  27.044  11.73  17.7551    11.3394
40.3  31  18.1165  28.5496  26.7143  10.166  17.298    10.9484
40.3  32  17.4947  28.1263  26.3846  10.166  17.9765    10.5574
40.3  33  16.7586  27.8062  26.3846  10.166  17.7386    9.77537
40.3  34  15.8734  27.5557  26.0549  8.602  18.4139    9.77537
40.3  35  14.7887  27.3542  25.7253  10.166  20.0861    9.77537
40.3  36  13.4286  27.1888  25.7253  8.602  18.8073    9.77537
40.3  37  11.6727  27.0504  25.7253  10.166  18.9255    9.77537
40.3  38  9.31915  26.933  25.7253  10.166  18.7698    9.77537
40.3  39  6  26.8321  25.3956  9.384  19.3752    9.77537
40.3  40  0.967742  26.7445  27.044  8.602  15.6314    8.99334
40.3  41  nan  26.6677  25.3956  8.602  19.1715    8.99334
40.3  42  nan  26.5998  26.7143  8.602  16.1687    8.21131
40.3  43  nan  26.5394  26.7143  8.602  16.357    8.21131
40.3  44  786  26.4853  26.3846  8.602  16.7905    8.99334
40.3  45  110  26.4365  26.3846  8.602  17.0957    8.21131
40.3  46  70.2353  26.3924  26.3846  7.038  17.7235    8.21131
40.3  47  55.92  26.3522  26.3846  7.038  17.5986    8.21131
40.3  48  48.5455  26.3154  26.3846  7.82  17.3023    8.21131
40.3  49  44.0488  26.2818  26.0549  8.602  18.5869    8.99334
40.3  50  41.0204  26.2507  26.0549  8.602  19.1867    8.21131
40.3  51  38.8421  26.2221  26.0549  7.038  18.5483    8.21131
40.3  52  37.2  26.1956  26.0549  7.038  17.9445    8.21131
40.3  53  35.9178  26.1709  26.0549  7.038  18.4945    8.21131
40.3  54  34.8889  26.1479  26.0549  7.038  19.3254    8.21131
40.3  55  34.0449  26.1265  25.7253  8.602  19.5608    8.99334
40.3  56  33.3402  26.1064  25.7253  8.602  18.7069    8.99334
40.3  57  32.7429  26.0876  25.7253  8.602  18.6646    8.21131
40.3  58  32.2301  26.0699  25.7253  8.602  19.4407    8.21131
40.3  59  31.7851  26.0532  25.7253  7.038  20.0587    8.21131
40.3  60  31.3953  26.0375  25.7253  7.038  19.9026    8.21131
40.3  61  31.0511  26.0226  25.7253  7.038  19.2141    8.21131
40.3  62  30.7448  26.0086  25.7253  7.038  18.7147    8.21131
40.3  63  30.4706  25.9953  25.7253  7.038  18.8739    8.21131
40.3  64  30.2236  25.9827  25.3956  8.602  19.9318    8.99334
40.3  65  30  25.9707  25.3956  8.602  20.2344    8.99334
40.3  66  29.7966  25.9592  25.3956  8.602  20.0881    8.99334
40.3  67  29.6108  25.9483  25.3956  8.602  19.6459    8.21131
40.3  68  29.4404  25.938  25.3956  8.602  19.2403    8.21131
40.3  69  29.2836  25.9281  25.3956  8.602  19.1388    8.21131
40.3  70  29.1388  25.9186  25.3956  8.602  19.3714    8.21131
40.3  71  29.0046  25.9095  25.3956  7.038  19.755    8.21131
40.3  72  28.88  25.9009  25.3956  7.038  20.0566    8.21131
40.3  73  28.7639  25.8925  25.3956  7.038  20.1338    8.21131
40.3  74  28.6556  25.8846  25.3956  7.038  19.9803    8.21131
40.3  75  28.5542  25.8769  25.0659  8.602  19.7197    8.21131
40.3  76  28.4591  25.8695  25.0659  8.602  19.5114    8.21131
40.3  77  28.3698  25.8625  25.0659  8.602  19.4252    8.21131
40.3  78  28.2857  25.8557  25.0659  8.602  19.481    8.21131
40.3  79  28.2064  25.8491  25.0659  8.602  19.6381    8.21131
40.3  80  28.1315  25.8428  25.0659  7.038  19.8245    8.21131
40.3  81  28.0606  25.8367  25.0659  7.038  19.9716    8.21131
40.3  82  27.9934  25.8308  25.0659  7.038  20.0366    8.21131
40.3  83  27.9297  25.8251  25.0659  7.038  20.0101    8.21131
40.3  84  27.8692  25.8196  25.0659  7.038  19.9116    8.21131
40.3  85  27.8116  25.8143  25.0659  7.038  19.7779    7.42928
40.3  86  27.7567  25.8092  25.0659  7.038  19.6502    7.42928
40.3  87  27.7043  25.8042  25.0659  7.038  19.5621    7.42928
40.3  88  27.6544  25.7994  25.0659  7.038  19.5323    7.42928
40.3  89  27.6066  25.7947  25.0659  7.038  19.5623    7.42928
40.3  90  27.561  25.7902  25.0659  7.038  19.6393    7.42928
40.3  91  27.5172  25.7858  25.0659  7.038  19.7423    7.42928
40.3  92  27.4753  25.7816  25.0659  7.038  19.8482    7.42928
40.3  93  27.4351  25.7774  25.0659  7.038  19.9373    7.42928
40.3  94  27.3965  25.7734  25.0659  7.038  19.9963    7.42928
40.3  95  27.3594  25.7695  25.0659  7.038  20.0193    7.42928
40.3  96  27.3237  25.7657  25.0659  7.038  20.0074    7.42928
40.3  97  27.2894  25.7621  25.0659  7.038  19.9672    7.42928
40.3  98  27.2564  25.7585  25.0659  7.038  19.9085    7.42928
40.3  99  27.2245  25.755  25.0659  7.038  19.8426    7.42928
40.3  100  27.1938  25.7516  25.0659  7.038  19.7806    7.42928
