aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
1000  5  23.0547  24.5441  23.0879  185.334  67.7301    184.95
1000  6  22.9901  24.4932  23.0879  3.91  76.8196    5.08319
1000  7  22.922  24.4366  22.7582  3.91  77.3155    5.08319
1000  8  22.8502  24.3733  22.7582  3.91  25.3486    5.08319
1000  9  22.7742  24.302  22.7582  5.474  20.0616    5.08319
1000  10  22.6937  24.221  22.7582  5.474  19.4892    5.47421
1000  11  22.6084  24.1283  22.4286  5.474  19.1134    5.86522
1000  12  22.5176  24.0211  22.4286  5.474  18.7523    5.86522
1000  13  22.4211  23.8957  22.4286  5.474  18.6199    6.64725
1000  14  22.318  23.7471  22.4286  7.038  18.6203    7.42928
1000  15  22.2078  23.5681  22.0989  7.038  18.3979    8.21131
1000  16  22.0897  23.3485  22.0989  8.602  18.2424    8.21131
1000  17  21.9628  23.0725  22.0989  10.166  18.4669    9.77537
1000  18  21.8261  22.7152  21.7692  10.166  18.1998    10.5574
1000  19  21.6784  22.2347  21.7692  11.73  18.2919    11.3394
1000  20  21.5183  21.5537  21.4396  11.73  18.0174    12.5125
1000  21  21.3443  20.5138  21.4396  13.294  18.0291    13.6855
1000  22  21.1543  18.7299  21.1099  14.858  17.7313    15.2496
1000  23  20.9461  14.9582  20.7802  16.422  17.8749    17.2047
1000  24  20.717  1.69811  20.7802  17.986  17.7637    18.3777
1000  25  20.4636  117.805  20.4505  19.55  17.7063    20.7238
1000  26  20.1818  41.2033  20.1209  22.678  17.3609    23.0699
1000  27  19.8667  34.0816  19.7912  25.024  18.2761    25.416
1000  28  19.5118  31.4041  19.4615  28.152  17.3318    28.5441
1000  29  19.1092  30  19.1319  31.28  15.6807    31.6722
1000  30  18.6486  29.1354  18.8022  33.626  16.0333    34.4093
1000  31  18.1165  28.5496  18.4725  38.318  17.9306    38.3195
1000  32  17.4947  28.1263  17.8132  44.574  19.8017    44.9667
1000  33  16.7586  27.8062  17.1538  51.612  22.5693    52.396
1000  34  15.8734  27.5557  16.4945  60.214  26.0658    60.6073
1000  35  14.7887  27.3542  15.8352  69.598  30.3146    70.3827
1000  36  13.4286  27.1888  15.1758  82.892  36.2181    83.6772
1000  37  11.6727  27.0504  14.1868  102.442  43.7554    102.446
1000  38  9.31915  26.933  13.1978  129.812  54.3325    130.599
1000  39  6  26.8321  12.5385  170.476  68.1877    170.483
1000  40  0.967742  26.7445  17.8132  238.51  75.0469    238.91
1000  41  nan  26.6677  49.4615  208.012  70.1483    208.802
1000  42  nan  26.5998  61  162.656  60.0776    162.662
1000  43  nan  26.5394  61  126.684  50.6515    127.471
1000  44  786  26.4853  61  102.442  42.7555    102.837
1000  45  110  26.4365  54.0769  88.366  36.9138    88.3694
1000  46  70.2353  26.3924  48.8022  78.2  32.439    78.985
1000  47  55.92  26.3522  44.8462  71.162  28.9609    71.1647
1000  48  48.5455  26.3154  41.5495  64.906  26.2825    64.9085
1000  49  44.0488  26.2818  39.2418  59.432  24.091    60.2163
1000  50  41.0204  26.2507  37.9231  55.522  22.144    56.3062
1000  51  38.8421  26.2221  36.2747  52.394  20.705    52.396
1000  52  37.2  26.1956  35.2857  49.266  19.3719    49.6589
1000  53  35.9178  26.1709  34.6264  46.92  18.185    47.7038
1000  54  34.8889  26.1479  33.6374  44.574  17.3415    44.5757
1000  55  34.0449  26.1265  32.978  42.228  16.56    42.6206
1000  56  33.3402  26.1064  32.3187  39.882  15.9803    40.2745
1000  57  32.7429  26.0876  31.989  38.318  15.3046    39.1015
1000  58  32.2301  26.0699  31.6593  36.754  14.7972    37.5374
1000  59  31.7851  26.0532  31.3297  35.972  14.4351    36.3644
1000  60  31.3953  26.0375  31  35.19  14.2092    35.1913
1000  61  31.0511  26.0226  30.6703  33.626  14.1249    34.4093
1000  62  30.7448  26.0086  30.3407  33.626  14.1994    33.6273
1000  63  30.4706  25.9953  30.3407  32.844  14.2768    32.8453
1000  64  30.2236  25.9827  30.011  32.062  14.5795    32.4542
1000  65  30  25.9707  30.011  31.28  15.0275    32.0632
1000  66  29.7966  25.9592  29.6813  30.498  15.5002    31.2812
1000  67  29.6108  25.9483  29.6813  30.498  16.1605    30.8902
1000  68  29.4404  25.938  29.3516  29.716  16.7259    30.1082
1000  69  29.2836  25.9281  29.3516  28.934  17.4308    29.7171
1000  70  29.1388  25.9186  29.022  28.934  18.0044    28.9351
1000  71  29.0046  25.9095  29.022  28.152  18.6082    28.5441
1000  72  28.88  25.9009  28.6923  27.37  19.1236    28.1531
1000  73  28.7639  25.8925  28.6923  27.37  19.525    27.7621
1000  74  28.6556  25.8846  28.6923  27.37  19.8908    27.371
1000  75  28.5542  25.8769  28.3626  26.588  20.1112    26.98
1000  76  28.4591  25.8695  28.3626  25.806  20.219    26.589
