aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
506.7  5  23.0547  24.5441  23.1313  124.391  0    127.425
506.7  6  22.9901  24.4932  23.1313  152.555  0    156.054
506.7  7  22.922  24.4366  23.1313  180.719  0    184.684
506.7  8  22.8502  24.3733  22.6263  213.577  0    5.1627
506.7  9  22.7742  24.302  22.6263  2.347  0    4.92803
506.7  10  22.6937  24.221  22.6263  2.347  0    4.92803
506.7  11  22.6084  24.1283  22.6263  2.347  0    4.92803
506.7  12  22.5176  24.0211  22.6263  2.347  0    4.92803
506.7  13  22.4211  23.8957  22.6263  2.347  0    5.39736
506.7  14  22.318  23.7471  22.1212  2.347  0    5.39736
506.7  15  22.2078  23.5681  22.1212  2.347  0    4.92803
506.7  16  22.0897  23.3485  22.1212  2.347  0    4.92803
506.7  17  21.9628  23.0725  22.1212  2.347  0    5.39736
506.7  18  21.8261  22.7152  22.1212  2.347  0    7.27471
506.7  19  21.6784  22.2347  21.6162  2.347  0    5.1627
506.7  20  21.5183  21.5537  21.6162  2.347  0    5.39736
506.7  21  21.3443  20.5138  21.6162  2.347  0    7.27471
506.7  22  21.1543  18.7299  21.1111  2.347  0    5.39736
506.7  23  20.9461  14.9582  21.1111  2.347  0    6.33604
506.7  24  20.717  1.69811  21.1111  7.041  0    18.0694
506.7  25  20.4636  117.805  20.6061  2.347  0    6.5707
506.7  26  20.1818  41.2033  20.6061  7.041  0    20.1814
506.7  27  19.8667  34.0816  20.101  2.347  0    9.85606
506.7  28  19.5118  31.4041  19.596  7.041  0    7.27471
506.7  29  19.1092  30  19.596  7.041  0    25.8135
506.7  30  18.6486  29.1354  19.0909  7.041  0    22.2935
506.7  31  18.1165  28.5496  18.5859  7.041  0    20.8855
506.7  32  17.4947  28.1263  18.0808  7.041  0    23.9361
506.7  33  16.7586  27.8062  17.5758  9.388  0    31.4455
506.7  34  15.8734  27.5557  17.0707  11.735  0    41.3016
506.7  35  14.7887  27.3542  16.0606  11.735  0    40.3629
506.7  36  13.4286  27.1888  15.0505  16.429  0    46.2296
506.7  37  11.6727  27.0504  14.0404  21.123  0    64.0644
506.7  38  9.31915  26.933  12.5253  28.164  0    79.0831
506.7  39  6  26.8321  11.0101  37.552  0    115.457
506.7  40  0.967742  26.7445  10  58.675  0    180.46
506.7  41  nan  26.6677  10  140.82  0    187.5
506.7  42  nan  26.5998  51.9192  199.495  0    148.545
506.7  43  nan  26.5394  60  157.249  0    101.611
506.7  44  786  26.4853  59.4949  119.697  0    68.5231
506.7  45  110  26.4365  51.4141  100.921  0    55.147
506.7  46  70.2353  26.3924  60  53.981  0    21.8241
506.7  47  55.92  26.3522  60  25.817  0    21.3548
506.7  48  48.5455  26.3154  58.4848  18.776  0    26.2828
